etype,machine,n_sections,n_segments,size,entropy,label
3,62,31,13,96656,5.5054807954715,0
3,62,31,13,125768,5.450161611244867,0
3,62,31,13,23032,4.224478123290866,0
3,62,31,13,808552,5.31236068105999,0
3,62,30,13,23968,4.070214851064601,0
3,62,31,13,36080,4.5166874349000246,0
3,62,31,13,27016,3.9365212510936423,0
3,62,31,13,14720,2.2309399563655608,0
3,62,31,13,35336,4.531283268681471,0
3,62,31,13,43400,4.729316561558038,0
3,62,30,13,26864,3.362969218605197,0
2,62,32,10,89112,5.906729277308146,0
2,62,32,10,305912,6.06588851549358,0
3,62,31,13,35208,4.873785946246782,0
3,62,31,13,22920,3.1586454344455452,0
3,62,31,13,27008,3.8717020055197344,0
3,62,31,13,35240,4.707349324624868,0
3,62,31,13,31104,3.8406893367350268,0
3,62,31,13,104832,6.164254983673655,0
3,62,30,13,1005368,5.760302427724734,0
3,62,31,13,31104,3.9626627418570965,0
3,62,30,13,18736,4.50542501107555,0
3,62,30,13,26936,4.350337993029796,0
3,62,29,13,14488,3.1436854211344145,0
3,62,31,13,39448,4.654009507189786,0
3,62,30,13,48032,4.899372688094473,0
3,62,31,13,211664,4.986302491663598,0
3,62,31,13,72200,5.571371412378052,0
3,62,30,13,18768,4.8451471860252076,0
3,62,30,13,194952,5.92970180633047,0
3,62,31,13,35336,4.548268469681393,0
2,62,33,11,5618416,6.5013156712482925,0
3,62,31,13,39336,4.509087646595102,0
3,62,31,13,59944,5.36762568472426,0
3,62,31,13,36416,4.465389198488596,0
3,62,31,13,31112,4.517051616813571,0
3,62,31,13,178656,5.7013570947857835,0
3,62,30,13,76344,5.172846808056467,0
3,62,31,13,63880,5.347764475125574,0
3,62,31,13,35336,4.166049373512945,0
3,62,32,13,18888,3.0467140171401392,0
3,62,31,13,35240,4.624552678265424,0
3,62,30,13,166536,6.102904253486126,0
3,62,31,13,80752,5.797027298935889,0
3,62,31,13,39304,4.3478483449913155,0
3,62,31,13,117160,5.5229236780280635,0
3,62,30,13,390848,6.208416975966957,0
3,62,31,13,808552,5.31236068105999,0
3,62,31,13,18824,3.5181801932938983,0
3,62,31,13,64152,4.681180204649357,0
3,62,30,13,18752,3.6613697335463535,0
3,62,31,13,23064,3.4872343617605375,0
3,62,31,13,162824,5.749579406360248,0
3,62,31,13,39704,4.8074440853103075,0
3,62,31,13,31336,3.879179782941108,0
3,62,31,13,55688,5.353017955797726,0
3,62,31,13,28112,3.9650723215234356,0
3,62,31,13,59928,5.49080771932474,0
3,62,30,13,186896,5.878744422269576,0
3,62,31,13,23272,3.955853265245937,0
2,62,28,5,1438592,6.177802208733999,1
2,40,13,3,160828,5.684086540671104,1
2,3,0,2,129908,7.926722609965502,1
2,40,29,5,283000,6.20025124419997,1
3,62,26,5,39176,5.150930893392046,1
2,62,0,2,139348,7.918325370050826,1
2,40,13,3,97505,5.99185431070016,1
2,3,15,3,278198,6.61483781566214,1
2,3,21,9,64400,6.240238069051116,1
2,8,20,4,112092,5.721389537812388,1
2,40,29,5,179383,6.017333619969841,1
2,62,15,3,317530,6.23012654268855,1
